id,name,visible,text,party_id,created_at,updated_at
76,Aufbau,t,,4,,
72,Shotbar,t,,4,,
79,Helfereingang,t,,6,,
81,Deppen,t,,6,,
82,Abbau,t,,6,,
77,Aufbau,t,,6,,
83,Cocktailbar,t,,6,,
84,Eingang,t,,6,,
85,Garderobe,t,,6,,
11,Deppen,t,,1,,
15,Omniphon,t,,1,,
87,Omniphon,t,,6,,
78,Shotbar,t,,6,,
3,Abbau,t,,1,,
80,Sonstiges,t,,6,,
88,Theke,t,,6,,
10,Eingang,t,,1,,
7,Garderobe,t,,1,,
9,Helfereingang,t,,1,,
4,Küche,t,,1,,
8,Shotbar,t,,1,,
14,Sonstiges,t,,1,,
6,Theke,t,,1,,
86,Küche,t,,6,,
89,Helfereingang,t,,8,,
5,Cocktailbar,t,,1,,
90,Deppen,t,,8,,
2,Aufbau,t,,1,,
98,Sonstiges,t,,8,,
70,Helfereingang,t,,4,,
73,Sonstiges,t,,4,,
65,Deppen,t,,4,,
67,Abbau,t,,4,,
75,Cocktailbar,t,,4,,
68,Eingang,t,,4,,
69,Garderobe,t,,4,,
71,Küche,t,,4,,
66,Omniphon,t,,4,,
74,Theke,t,,4,,
91,Abbau,t,,8,,
95,Garderobe,t,,8,,
93,Cocktailbar,t,,8,,
92,Aufbau,t,,8,,
94,Eingang,t,,8,,
100,Küche,t,,8,,
97,Shotbar,t,,8,,
99,Theke,t,,8,,
101,Werbung,t,,8,,
96,Omniphon,t,,8,,
102,Aufbau,t,,9,,
103,Shotbar,t,,9,,
104,Helfereingang,t,,9,,
105,Sonstiges,t,,9,,
106,Deppen,t,,9,,
107,Abbau,t,,9,,
108,Cocktailbar,t,,9,,
109,Eingang,t,,9,,
110,Garderobe,t,,9,,
111,Küche,t,,9,,
112,Omniphon,t,,9,,
113,Theke,t,,9,,
(61 Zeilen)
