id,start,ende,created_at,updated_at,person_id,section_id,council_id
72,04:00:00,08:00:00,,,20,3,1
31,15:00:00,21:00:00,,,21,2,1
32,15:00:00,21:00:00,,,22,2,1
33,15:00:00,21:00:00,,,89,2,1
34,15:00:00,21:00:00,,,23,2,1
35,15:00:00,21:00:00,,,24,2,1
36,15:00:00,21:00:00,,,25,2,1
37,15:00:00,21:00:00,,,26,2,1
38,15:00:00,21:00:00,,,27,2,1
39,15:00:00,21:00:00,,,28,2,1
40,15:00:00,21:00:00,,,29,2,1
41,15:00:00,21:00:00,,,30,2,1
42,15:00:00,21:00:00,,,20,2,1
100,21:30:00,01:00:00,,,8,8,2
146,21:30:00,01:00:00,,,27,5,1
147,21:30:00,01:00:00,,,31,5,1
148,21:30:00,01:00:00,,,32,5,1
149,21:30:00,01:00:00,,,33,5,1
134,01:00:00,04:00:00,,,84,10,1
162,01:00:00,04:00:00,,,34,5,1
799,21:00:00,04:00:00,,,3,65,1
797,21:00:00,04:00:00,,,11,65,2
163,01:00:00,04:00:00,,,22,5,1
164,01:00:00,04:00:00,,,33,5,1
136,21:30:00,01:30:00,,,29,10,1
169,21:30:00,01:00:00,,,30,7,1
142,15:00:00,21:00:00,,,60,4,1
126,15:00:00,21:00:00,,,35,4,1
116,23:30:00,02:30:00,,,36,6,1
144,21:30:00,01:00:00,,,25,6,1
114,23:30:00,02:30:00,,,37,6,1
143,21:30:00,01:00:00,,,38,6,1
121,01:00:00,04:00:00,,,29,6,1
74,04:00:00,08:00:00,,,43,3,1
75,04:00:00,08:00:00,,,44,3,1
76,04:00:00,08:00:00,,,45,3,1
77,04:00:00,08:00:00,,,46,3,1
78,04:00:00,08:00:00,,,35,3,1
79,04:00:00,08:00:00,,,47,3,1
156,23:00:00,02:00:00,,,48,5,1
84,04:00:00,08:00:00,,,76,3,1
85,04:00:00,08:00:00,,,77,3,1
91,04:00:00,08:00:00,,,97,3,1
87,04:00:00,08:00:00,,,79,3,1
88,04:00:00,08:00:00,,,80,3,1
89,04:00:00,08:00:00,,,81,3,1
73,04:00:00,08:00:00,,,82,3,1
176,01:00:00,04:00:00,,,75,7,1
155,21:30:00,01:00:00,,,99,5,2
175,21:30:00,01:00:00,,,96,7,2
188,14:00:00,08:00:00,,,107,15,1
127,16:00:00,21:00:00,,,127,4,1
96,04:00:00,08:00:00,,,,3,1
135,01:00:00,04:00:00,,,,10,1
97,04:00:00,08:00:00,,,,3,2
98,04:00:00,08:00:00,,,,3,2
159,23:00:00,02:00:00,,,95,5,2
119,01:00:00,04:00:00,,,87,6,1
86,04:00:00,08:00:00,,,,3,2
122,15:00:00,21:00:00,,,61,4,1
80,04:00:00,08:00:00,,,42,3,1
157,23:00:00,02:00:00,,,49,5,1
158,23:00:00,02:00:00,,,50,5,1
150,21:30:00,01:00:00,,,51,5,1
152,21:30:00,01:00:00,,,52,5,1
44,15:00:00,21:00:00,,,72,2,2
153,21:30:00,01:00:00,,,39,5,2
123,15:00:00,21:00:00,,,62,4,1
137,21:30:00,01:30:00,,,55,10,1
138,21:30:00,01:30:00,,,56,10,1
170,21:30:00,01:00:00,,,57,7,1
145,21:30:00,01:00:00,,,115,6,2
171,21:30:00,01:00:00,,,58,7,1
172,21:30:00,01:00:00,,,59,7,1
124,15:00:00,21:00:00,,,63,4,1
180,01:00:00,04:00:00,,,102,7,2
139,21:30:00,01:30:00,,,70,10,2
168,01:00:00,04:00:00,,,123,5,2
95,04:00:00,08:00:00,,,124,3,1
93,04:00:00,08:00:00,,,100,3,2
179,01:00:00,04:00:00,,,101,7,2
115,23:30:00,02:30:00,,,65,6,1
90,04:00:00,08:00:00,,,103,3,2
177,01:00:00,04:00:00,,,80,7,1
166,01:00:00,04:00:00,,,41,5,2
173,21:30:00,01:00:00,,,66,7,2
99,21:30:00,01:00:00,,,9,8,2
43,15:00:00,21:00:00,,,71,2,2
174,21:30:00,01:00:00,,,67,7,2
165,01:00:00,04:00:00,,,105,5,1
81,04:00:00,08:00:00,,,74,3,1
178,01:00:00,04:00:00,,,85,7,1
101,01:00:00,04:00:00,,,104,8,1
118,01:00:00,04:00:00,,,86,6,1
181,01:00:00,04:00:00,,,106,7,1
189,14:00:00,08:00:00,,,108,15,1
160,23:00:00,02:00:00,,,34,5,2
191,14:00:00,08:00:00,,,109,15,1
192,14:00:00,08:00:00,,,110,15,1
193,14:00:00,08:00:00,,,111,15,1
194,14:00:00,08:00:00,,,112,15,1
94,04:00:00,08:00:00,,,75,3,1
140,21:30:00,01:30:00,,,118,10,2
102,01:00:00,04:00:00,,,,8,1
167,01:00:00,04:00:00,,,122,5,2
117,23:30:00,02:30:00,,,,6,2
202,21:00:00,04:00:00,,,19,11,1
161,01:00:00,04:00:00,,,54,5,1
103,23:30:00,02:30:00,,,64,8,1
915,15:00:00,21:00:00,,,146,76,1
154,21:30:00,01:00:00,,,40,5,2
943,01:00:00,04:00:00,,,156,75,1
133,01:00:00,04:00:00,,,83,10,1
221,15:00:00,21:00:00,,,90,2,1
223,15:00:00,21:00:00,,,92,2,1
224,15:00:00,21:00:00,,,93,2,1
222,15:00:00,21:00:00,,,94,2,1
226,15:00:00,21:00:00,,,73,2,2
227,15:00:00,21:00:00,,,98,4,1
207,21:00:00,04:00:00,,,1,11,1
225,15:00:00,21:00:00,,,91,2,1
190,14:00:00,08:00:00,,,113,15,1
209,21:00:00,04:00:00,,,3,11,1
203,21:00:00,04:00:00,,,15,11,1
205,21:00:00,04:00:00,,,17,11,1
195,14:00:00,08:00:00,,,114,15,1
206,21:00:00,04:00:00,,,16,11,1
208,21:00:00,04:00:00,,,11,11,2
